 ,Length
1,0.347
2,0.664
3,0.397
4,0.117
5,0.418
6,0.284
7,0.18
8,0.741
9,0.466
10,0.677
11,0.19
12,0.063
13,0.217
14,0.76
15,1.219
16,0.231
17,0.418
18,0.244
19,0.794
20,0.1
21,0.058
22,0.081
23,0.081
24,0.066
25,0.064
26,0.107
27,0.725
28,0.2
29,0.148
30,0.112
31,0.33
32,1.51
