 ,Length
1,0.884
2,0.782
3,0.188
4,0.233
5,0.292
6,0.223
7,0.273
8,0.114
9,0.307
10,0.139
11,0.408
12,0.731
13,0.258
14,0.152
15,0.069
16,0.087
17,0.364
18,0.191
19,0.154
20,0.227
21,0.216
22,0.08
